day,site_code,age,prob.inf,month,code.new
1,S1,1,2.4896421054773404e-4,JAN,MNJ.06
1,S1,2,2.702021725754057e-4,JAN,MNJ.06
1,S1,3,2.930599872926386e-4,JAN,MNJ.06
1,S1,4,3.1738287817784355e-4,JAN,MNJ.06
1,S1,5,3.429278835599854e-4,JAN,MNJ.06
1,S1,6,3.694114216332803e-4,JAN,MNJ.06
1,S1,7,3.965100274564053e-4,JAN,MNJ.06
1,S1,8,4.23791913657044e-4,JAN,MNJ.06
1,S1,9,4.505884558189707e-4,JAN,MNJ.06
1,S1,10,4.758555527882284e-4,JAN,MNJ.06
1,S1,11,4.980775405889416e-4,JAN,MNJ.06
1,S1,12,5.15301669271798e-4,JAN,MNJ.06
1,S1,13,5.254002995259905e-4,JAN,MNJ.06
1,S1,14,5.265162108079851e-4,JAN,MNJ.06
1,S1,15,5.176201726743255e-4,JAN,MNJ.06
1,S1,16,4.98891430375628e-4,JAN,MNJ.06
1,S1,17,4.716503213858698e-4,JAN,MNJ.06
1,S1,18,4.3816376017342755e-4,JAN,MNJ.06
1,S1,19,4.011643226268312e-4,JAN,MNJ.06
1,S1,20,3.6340331497345903e-4,JAN,MNJ.06
1,S1,21,3.271951376189341e-4,JAN,MNJ.06
1,S1,22,2.941870112823027e-4,JAN,MNJ.06
1,S1,23,2.653459933817438e-4,JAN,MNJ.06
1,S1,24,2.4105979389066085e-4,JAN,MNJ.06
1,S1,25,2.2126727270487402e-4,JAN,MNJ.06
1,S1,26,2.0569297733352349e-4,JAN,MNJ.06
1,S1,27,1.939308413876865e-4,JAN,MNJ.06
1,S1,28,1.8551816557109e-4,JAN,MNJ.06
1,S1,29,1.7999894814289667e-4,JAN,MNJ.06
1,S1,30,1.7697231888686015e-4,JAN,MNJ.06
1,S1,31,1.7606274884917296e-4,JAN,MNJ.06
1,S1,32,1.7687170089065053e-4,JAN,MNJ.06
1,S1,33,1.7896415458411904e-4,JAN,MNJ.06
1,S1,34,1.8188419773632945e-4,JAN,MNJ.06
1,S1,35,1.8516507044386506e-4,JAN,MNJ.06
1,S1,36,1.8833845544139e-4,JAN,MNJ.06
1,S1,37,1.909423056740742e-4,JAN,MNJ.06
1,S1,38,1.925571341051101e-4,JAN,MNJ.06
1,S1,39,1.9286016831332272e-4,JAN,MNJ.06
1,S1,40,1.9167537993288754e-4,JAN,MNJ.06
1,S1,41,1.8901225887023825e-4,JAN,MNJ.06
1,S1,42,1.850201877401228e-4,JAN,MNJ.06
1,S1,43,1.7992708558414513e-4,JAN,MNJ.06
1,S1,44,1.7400264361750497e-4,JAN,MNJ.06
1,S1,45,1.6754611809504763e-4,JAN,MNJ.06
1,S1,46,1.6084906985566836e-4,JAN,MNJ.06
1,S1,47,1.5417427211467238e-4,JAN,MNJ.06
1,S1,48,1.4774456690115986e-4,JAN,MNJ.06
1,S1,49,1.4173624879655454e-4,JAN,MNJ.06
1,S1,50,1.3626933216050093e-4,JAN,MNJ.06
1,S1,51,1.3141400557179373e-4,JAN,MNJ.06
1,S1,52,1.2719451001964074e-4,JAN,MNJ.06
1,S1,53,1.2360761132549172e-4,JAN,MNJ.06
1,S1,54,1.2063619176125462e-4,JAN,MNJ.06
1,S1,55,1.1824359277636544e-4,JAN,MNJ.06
1,S1,56,1.1637109550935342e-4,JAN,MNJ.06
1,S1,57,1.1494656421705577e-4,JAN,MNJ.06
1,S1,58,1.1389475854374563e-4,JAN,MNJ.06
1,S1,59,1.1314326257972525e-4,JAN,MNJ.06
1,S1,60,1.126234081429264e-4,JAN,MNJ.06
1,S1,61,1.1227099014767007e-4,JAN,MNJ.06
1,S1,62,1.1202924325861324e-4,JAN,MNJ.06
1,S1,63,1.1185658498161818e-4,JAN,MNJ.06
1,S1,64,1.1172936777043741e-4,JAN,MNJ.06
1,S1,65,1.1163869345943556e-4,JAN,MNJ.06
1,S1,66,1.1158999218812123e-4,JAN,MNJ.06
1,S1,67,1.1160226699941927e-4,JAN,MNJ.06
1,S1,68,1.1170525542539179e-4,JAN,MNJ.06
1,S1,69,1.1193212381484526e-4,JAN,MNJ.06
1,S1,70,1.1231709655068498e-4,JAN,MNJ.06
1,S1,71,1.12893323702371e-4,JAN,MNJ.06
1,S1,72,1.1369260910277689e-4,JAN,MNJ.06
1,S1,73,1.147444779089913e-4,JAN,MNJ.06
1,S1,74,1.1607282854805636e-4,JAN,MNJ.06
1,S1,75,1.1769723960573381e-4,JAN,MNJ.06
1,S1,76,1.1962994847707917e-4,JAN,MNJ.06
1,S1,77,1.218754522763564e-4,JAN,MNJ.06
1,S1,78,1.244328129953564e-4,JAN,MNJ.06
1,S1,79,1.2729683384689544e-4,JAN,MNJ.06
1,S1,80,1.3046066941051597e-4,JAN,MNJ.06
1,S1,81,1.3391328509462932e-4,JAN,MNJ.06
1,S1,82,1.3763974675646157e-4,JAN,MNJ.06
1,S1,83,1.416229367091881e-4,JAN,MNJ.06
1,S1,84,1.4584770731733304e-4,JAN,MNJ.06
1,S1,85,1.5030146484920558e-4,JAN,MNJ.06
1,S1,86,1.5496995539005724e-4,JAN,MNJ.06
1,S1,87,1.5983636100115131e-4,JAN,MNJ.06
1,S1,88,1.648809802801803e-4,JAN,MNJ.06
1,S2,1,7.501724249504687e-4,JAN,MNJ.07
1,S2,2,8.14148681758697e-4,JAN,MNJ.07
1,S2,3,8.830014499057422e-4,JAN,MNJ.07
1,S2,4,9.562638681333091e-4,JAN,MNJ.07
1,S2,5,0.0010332035243636043,JAN,MNJ.07
1,S2,6,0.0011129657908927548,JAN,MNJ.07
1,S2,7,0.001194576093593199,JAN,MNJ.07
1,S2,8,0.0012767338636305303,JAN,MNJ.07
1,S2,9,0.0013574256530384933,JAN,MNJ.07
1,S2,10,0.0014335078699460888,JAN,MNJ.07
1,S2,11,0.0015004177018361458,JAN,MNJ.07
1,S2,12,0.001552277047915719,JAN,MNJ.07
1,S2,13,0.0015826817177190952,JAN,MNJ.07
1,S2,14,0.0015860414338250398,JAN,MNJ.07
1,S2,15,0.0015592575869761926,JAN,MNJ.07
1,S2,16,0.0015028682461112686,JAN,MNJ.07
1,S2,17,0.0014208456895844297,JAN,MNJ.07
1,S2,18,0.0013200120045557457,JAN,MNJ.07
1,S2,19,0.0012085925448691122,JAN,MNJ.07
1,S2,20,0.001094871142083574,JAN,MNJ.07
1,S2,21,9.8581813211158e-4,JAN,MNJ.07
1,S2,22,8.86396212167185e-4,JAN,MNJ.07
1,S2,23,7.995203930117115e-4,JAN,MNJ.07
1,S2,24,7.263608260290083e-4,JAN,MNJ.07
1,S2,25,6.667353350991008e-4,JAN,MNJ.07
1,S2,26,6.198156891446993e-4,JAN,MNJ.07
1,S2,27,5.843797072397827e-4,JAN,MNJ.07
1,S2,28,5.590341843814425e-4,JAN,MNJ.07
