day,site_code,age,prob.inf,storm,age_cat,code.new
1,S1,1,4.6008771681257504e-4,CYCLONE BATSIRAI,Young children,MNJ.06
2,S1,1,9.199637529179883e-4,CYCLONE BATSIRAI,Young children,MNJ.06
3,S1,1,0.0013796282057079333,CYCLONE BATSIRAI,Young children,MNJ.06
4,S1,1,0.0018390811725292938,CYCLONE BATSIRAI,Young children,MNJ.06
5,S1,1,0.0022983227506841665,CYCLONE BATSIRAI,Young children,MNJ.06
6,S1,1,0.002757353037429882,CYCLONE BATSIRAI,Young children,MNJ.06
7,S1,1,0.003216172129979019,CYCLONE BATSIRAI,Young children,MNJ.06
8,S1,1,0.0036747801254994328,CYCLONE BATSIRAI,Young children,MNJ.06
9,S1,1,0.00413317712111428,CYCLONE BATSIRAI,Young children,MNJ.06
10,S1,1,0.004591363213902022,CYCLONE BATSIRAI,Young children,MNJ.06
11,S1,1,0.005049338500896455,CYCLONE BATSIRAI,Young children,MNJ.06
12,S1,1,0.00550710307908674,CYCLONE BATSIRAI,Young children,MNJ.06
13,S1,1,0.005964657045417408,CYCLONE BATSIRAI,Young children,MNJ.06
14,S1,1,0.006422000496788379,CYCLONE BATSIRAI,Young children,MNJ.06
15,S1,1,0.006879133530055019,CYCLONE BATSIRAI,Young children,MNJ.06
16,S1,1,0.0073360562420281,CYCLONE BATSIRAI,Young children,MNJ.06
17,S1,1,0.007792768729473877,CYCLONE BATSIRAI,Young children,MNJ.06
18,S1,1,0.008249271089114057,CYCLONE BATSIRAI,Young children,MNJ.06
19,S1,1,0.008705563417625874,CYCLONE BATSIRAI,Young children,MNJ.06
20,S1,1,0.00916164581164207,CYCLONE BATSIRAI,Young children,MNJ.06
21,S1,1,0.009617518367750924,CYCLONE BATSIRAI,Young children,MNJ.06
22,S1,1,0.010073181182496276,CYCLONE BATSIRAI,Young children,MNJ.06
23,S1,1,0.010528634352377553,CYCLONE BATSIRAI,Young children,MNJ.06
24,S1,1,0.010983877973849795,CYCLONE BATSIRAI,Young children,MNJ.06
25,S1,1,0.011438912143323621,CYCLONE BATSIRAI,Young children,MNJ.06
26,S1,1,0.011893736957165366,CYCLONE BATSIRAI,Young children,MNJ.06
27,S1,1,0.012348352511696945,CYCLONE BATSIRAI,Young children,MNJ.06
28,S1,1,0.01280275890319601,CYCLONE BATSIRAI,Young children,MNJ.06
29,S1,1,0.013256956227895914,CYCLONE BATSIRAI,Young children,MNJ.06
30,S1,1,0.01371094458198571,CYCLONE BATSIRAI,Young children,MNJ.06
31,S1,1,0.014164724061610222,CYCLONE BATSIRAI,Young children,MNJ.06
32,S1,1,0.014618294762870004,CYCLONE BATSIRAI,Young children,MNJ.06
33,S1,1,0.015071656781821449,CYCLONE BATSIRAI,Young children,MNJ.06
34,S1,1,0.015524810214476688,CYCLONE BATSIRAI,Young children,MNJ.06
