day,site_code,age,prob.inf,month,age_cat,code.new
1,S1,5,3.0540844991275144e-4,JAN,Young children,MNJ.06
2,S1,5,6.107236255042249e-4,JAN,Young children,MNJ.06
3,S1,5,9.159455552611861e-4,JAN,Young children,MNJ.06
4,S1,5,0.0012210742676617007,JAN,Young children,MNJ.06
5,S1,5,0.0015261097911751372,JAN,Young children,MNJ.06
6,S1,5,0.001831052154262168,JAN,Young children,MNJ.06
7,S1,5,0.002135901385374778,JAN,Young children,MNJ.06
8,S1,5,0.002440657512956256,JAN,Young children,MNJ.06
9,S1,5,0.0027453205654412085,JAN,Young children,MNJ.06
10,S1,5,0.003049890571255554,JAN,Young children,MNJ.06
11,S1,5,0.0033543675588165347,JAN,Young children,MNJ.06
12,S1,5,0.0036587515565327084,JAN,Young children,MNJ.06
13,S1,5,0.003963042592803963,JAN,Young children,MNJ.06
14,S1,5,0.004267240696021511,JAN,Young children,MNJ.06
15,S1,5,0.004571345894567886,JAN,Young children,MNJ.06
16,S1,5,0.004875358216816963,JAN,Young children,MNJ.06
17,S1,5,0.005179277691133946,JAN,Young children,MNJ.06
18,S1,5,0.005483104345875379,JAN,Young children,MNJ.06
19,S1,5,0.005786838209389146,JAN,Young children,MNJ.06
20,S1,5,0.00609047931001447,JAN,Young children,MNJ.06
21,S1,5,0.006394027676081925,JAN,Young children,MNJ.06
22,S1,5,0.006697483335913429,JAN,Young children,MNJ.06
23,S1,5,0.007000846317822241,JAN,Young children,MNJ.06
24,S1,5,0.007304116650112987,JAN,Young children,MNJ.06
25,S1,5,0.0076072943610816495,JAN,Young children,MNJ.06
26,S1,5,0.007910379479015548,JAN,Young children,MNJ.06
27,S1,5,0.008213372032193396,JAN,Young children,MNJ.06
28,S1,5,0.00851627204888524,JAN,Young children,MNJ.06
29,S1,5,0.008819079557352508,JAN,Young children,MNJ.06
30,S1,5,0.009121794585847992,JAN,Young children,MNJ.06
1,S1,13,4.6792139462527245e-4,JAN,School aged children,MNJ.06
2,S1,13,9.356238388189969e-4,JAN,School aged children,MNJ.06
3,S1,13,0.0014031074350327648,JAN,School aged children,MNJ.06
4,S1,13,0.0018703722856702276,JAN,School aged children,MNJ.06
5,S1,13,0.0023374184930871206,JAN,School aged children,MNJ.06
6,S1,13,0.0028042461595912858,JAN,School aged children,MNJ.06
7,S1,13,0.0032708553874426886,JAN,School aged children,MNJ.06
8,S1,13,0.003737246278853449,JAN,School aged children,MNJ.06
9,S1,13,0.004203418935987864,JAN,School aged children,MNJ.06
10,S1,13,0.004669373460962416,JAN,School aged children,MNJ.06
11,S1,13,0.0051351099558458084,JAN,School aged children,MNJ.06
12,S1,13,0.00560062852265899,JAN,School aged children,MNJ.06
13,S1,13,0.006065929263375161,JAN,School aged children,MNJ.06
14,S1,13,0.00653101227991981,JAN,School aged children,MNJ.06
15,S1,13,0.006995877674170749,JAN,School aged children,MNJ.06
16,S1,13,0.007460525547958094,JAN,School aged children,MNJ.06
17,S1,13,0.007924956003064334,JAN,School aged children,MNJ.06
18,S1,13,0.008389169141224307,JAN,School aged children,MNJ.06
19,S1,13,0.008853165064125269,JAN,School aged children,MNJ.06
20,S1,13,0.009316943873406893,JAN,School aged children,MNJ.06
21,S1,13,0.009780505670661277,JAN,School aged children,MNJ.06
22,S1,13,0.010243850557432991,JAN,School aged children,MNJ.06
23,S1,13,0.010706978635219093,JAN,School aged children,MNJ.06
24,S1,13,0.011169890005469158,JAN,School aged children,MNJ.06
25,S1,13,0.011632584769585248,JAN,School aged children,MNJ.06
26,S1,13,0.012095063028922052,JAN,School aged children,MNJ.06
27,S1,13,0.012557324884786746,JAN,School aged children,MNJ.06
28,S1,13,0.013019370438439157,JAN,School aged children,MNJ.06
29,S1,13,0.013481199791091735,JAN,School aged children,MNJ.06
30,S1,13,0.013942813043909538,JAN,School aged children,MNJ.06
1,S1,18,3.902266881386292e-4,JAN,Teenagers,MNJ.06
2,S1,18,7.803010994091229e-4,JAN,Teenagers,MNJ.06
3,S1,18,0.0011702232932339792,JAN,Teenagers,MNJ.06
4,S1,18,0.0015599933290125067,JAN,Teenagers,MNJ.06
5,S1,18,0.0019496112661208371,JAN,Teenagers,MNJ.06
6,S1,18,0.0023390771639119306,JAN,Teenagers,MNJ.06
7,S1,18,0.002728391081715586,JAN,Teenagers,MNJ.06
8,S1,18,0.003117553078838448,JAN,Teenagers,MNJ.06
9,S1,18,0.003506563214564026,JAN,Teenagers,MNJ.06
10,S1,18,0.0038954215481526895,JAN,Teenagers,MNJ.06
11,S1,18,0.0042841281388416785,JAN,Teenagers,MNJ.06
12,S1,18,0.0046726830458451284,JAN,Teenagers,MNJ.06
13,S1,18,0.005061086328354056,JAN,Teenagers,MNJ.06
14,S1,18,0.005449338045536382,JAN,Teenagers,MNJ.06
15,S1,18,0.005837438256536954,JAN,Teenagers,MNJ.06
16,S1,18,0.0062253870204775205,JAN,Teenagers,MNJ.06
17,S1,18,0.006613184396456771,JAN,Teenagers,MNJ.06
18,S1,18,0.007000830443550319,JAN,Teenagers,MNJ.06
19,S1,18,0.0073883252208107415,JAN,Teenagers,MNJ.06
20,S1,18,0.007775668787267567,JAN,Teenagers,MNJ.06
21,S1,18,0.00816286120192728,JAN,Teenagers,MNJ.06
22,S1,18,0.008549902523773344,JAN,Teenagers,MNJ.06
23,S1,18,0.00893679281176621,JAN,Teenagers,MNJ.06
24,S1,18,0.009323532124843327,JAN,Teenagers,MNJ.06
25,S1,18,0.009710120521919115,JAN,Teenagers,MNJ.06
26,S1,18,0.01009655806188506,JAN,Teenagers,MNJ.06
27,S1,18,0.010482844803609595,JAN,Teenagers,MNJ.06
28,S1,18,0.010868980805938233,JAN,Teenagers,MNJ.06
29,S1,18,0.011254966127693522,JAN,Teenagers,MNJ.06
30,S1,18,0.011640800827675029,JAN,Teenagers,MNJ.06
1,S1,27,1.7271163291112906e-4,JAN,Adults,MNJ.06
2,S1,27,3.453934365141153e-4,JAN,Adults,MNJ.06
3,S1,27,5.180454159608274e-4,JAN,Adults,MNJ.06
4,S1,27,6.906675764022437e-4,JAN,Adults,MNJ.06
5,S1,27,8.632599229884535e-4,JAN,Adults,MNJ.06
6,S1,27,0.001035822460868656,JAN,Adults,MNJ.06
7,S1,27,0.0012083551951911629,JAN,Adults,MNJ.06
8,S1,27,0.0013808581311033942,JAN,Adults,MNJ.06
9,S1,27,0.0015533312737518825,JAN,Adults,MNJ.06
10,S1,27,0.001725774628282269,JAN,Adults,MNJ.06
11,S1,27,0.001898188199839311,JAN,Adults,MNJ.06
12,S1,27,0.0020705719935668722,JAN,Adults,MNJ.06
13,S1,27,0.0022429260146079317,JAN,Adults,MNJ.06
14,S1,27,0.002415250268104581,JAN,Adults,MNJ.06
15,S1,27,0.0025875447591980167,JAN,Adults,MNJ.06
16,S1,27,0.002759809493028554,JAN,Adults,MNJ.06
17,S1,27,0.002932044474735618,JAN,Adults,MNJ.06
18,S1,27,0.003104249709457747,JAN,Adults,MNJ.06
19,S1,27,0.003276425202332591,JAN,Adults,MNJ.06
20,S1,27,0.003448570958496913,JAN,Adults,MNJ.06
21,S1,27,0.0036206869830865906,JAN,Adults,MNJ.06
22,S1,27,0.0037927732812366127,JAN,Adults,MNJ.06
23,S1,27,0.003964829858081077,JAN,Adults,MNJ.06
24,S1,27,0.004136856718753201,JAN,Adults,MNJ.06
25,S1,27,0.004308853868385317,JAN,Adults,MNJ.06
