COUNTRY,SEASON,SID,NAME,name.yr,date,year,n_wind.points,max.wind.speed,storm.cat
Afghanistan,2007,2007172N15088,UNNAMED,2007_2007172N15088_UNNAMED,2007-06-27,2007,1,37.04,TD
Bangladesh,1981,1981321N13092,UNNAMED,1981_1981321N13092_UNNAMED,1981-11-20,1981,6,111.12,TS
Bangladesh,1981,1981339N11089,UNNAMED,1981_1981339N11089_UNNAMED,1981-12-10,1981,3,87.04400000000001,TS
Bangladesh,1982,1982168N23090,UNNAMED,1982_1982168N23090_UNNAMED,1982-06-17,1982,0,NA,ND
Bangladesh,1982,1982214N23090,UNNAMED,1982_1982214N23090_UNNAMED,1982-08-02,1982,0,NA,ND
Bangladesh,1982,1982272N22092,UNNAMED,1982_1982272N22092_UNNAMED,1982-09-29,1982,0,NA,ND
Bangladesh,1983,1983216N23088,UNNAMED,1983_1983216N23088_UNNAMED,1983-08-04,1983,0,NA,ND
Bangladesh,1983,1983287N19091,HERBERT,1983_1983287N19091_HERBERT,1983-10-15,1983,0,NA,ND
Bangladesh,1983,1983282N09155,KIM,1983_1983282N09155_KIM,1983-10-20,1983,3,46.300000000000004,TD
Bangladesh,1983,1983309N10091,UNNAMED,1983_1983309N10091_UNNAMED,1983-11-09,1983,4,101.86,TS
Bangladesh,1985,1985142N16089,UNNAMED,1985_1985142N16089_UNNAMED,1985-05-25,1985,7,111.12,TS
Bangladesh,1986,1986308N11090,UNNAMED,1986_1986308N11090_UNNAMED,1986-11-09,1986,5,92.60000000000001,TS
Bangladesh,1987,1987030N06089,UNNAMED,1987_1987030N06089_UNNAMED,1987-02-04,1987,1,37.04,TD
Bangladesh,1987,1987150N13095,UNNAMED,1987_1987150N13095_UNNAMED,1987-06-04,1987,9,101.86,TS
Bangladesh,1987,1987238N24090,UNNAMED,1987_1987238N24090_UNNAMED,1987-08-26,1987,0,NA,ND
Bangladesh,1988,1988215N22090,UNNAMED,1988_1988215N22090_UNNAMED,1988-08-02,1988,0,NA,ND
Bangladesh,1988,1988291N15095,UNNAMED,1988_1988291N15095_UNNAMED,1988-10-19,1988,5,55.56,TD
Bangladesh,1988,1988327N06100,UNNAMED,1988_1988327N06100_UNNAMED,1988-11-29,1988,7,203.72,H3
Bangladesh,1989,1989290N18090,UNNAMED,1989_1989290N18090_UNNAMED,1989-10-17,1989,0,NA,ND
Bangladesh,1990,1990164N21089,UNNAMED,1990_1990164N21089_UNNAMED,1990-06-13,1990,0,NA,ND
Bangladesh,1990,1990232N22089,UNNAMED,1990_1990232N22089_UNNAMED,1990-08-20,1990,0,NA,ND
Bangladesh,1990,1990246N23089,UNNAMED,1990_1990246N23089_UNNAMED,1990-09-03,1990,0,NA,ND
Bangladesh,1990,1990280N18091,UNNAMED,1990_1990280N18091_UNNAMED,1990-10-08,1990,0,NA,ND
Bangladesh,1990,1990348N04087,UNNAMED,1990_1990348N04087_UNNAMED,1990-12-18,1990,6,64.82000000000001,TS
Bangladesh,1991,1991113N10091,UNNAMED,1991_1991113N10091_UNNAMED,1991-04-29,1991,4,255.57600000000002,H5
Bangladesh,1991,1991150N14091,UNNAMED,1991_1991150N14091_UNNAMED,1991-06-02,1991,6,92.60000000000001,TS
Bangladesh,1991,1991285N15090,UNNAMED,1991_1991285N15090_UNNAMED,1991-10-14,1991,0,NA,ND
Bangladesh,1992,1992265N18099,UNNAMED,1992_1992265N18099_UNNAMED,1992-09-23,1992,17,55.56,TD
Bangladesh,1992,1992288N10089,UNNAMED,1992_1992288N10089_UNNAMED,1992-10-21,1992,5,55.56,TD
Bangladesh,1992,1992314N08141,FORREST,1992_1992314N08141_FORREST,1992-11-21,1992,4,181.496,H3
Bangladesh,1994,1994117N07096,UNNAMED,1994_1994117N07096_UNNAMED,1994-05-02,1994,7,218.536,H4
Bangladesh,1995,1995135N20087,UNNAMED,1995_1995135N20087_UNNAMED,1995-05-15,1995,0,NA,ND
Bangladesh,1995,1995310N09096,UNNAMED,1995_1995310N09096_UNNAMED,1995-11-10,1995,2,27.78,TD
Bangladesh,1995,1995323N05097,UNNAMED,1995_1995323N05097_UNNAMED,1995-11-25,1995,3,157.42000000000002,H2
Bangladesh,1996,1996122N08092,UNNAMED,1996_1996122N08092_UNNAMED,1996-05-08,1996,4,74.08,TS
Bangladesh,1996,1996296N09093,UNNAMED,1996_1996296N09093_UNNAMED,1996-10-28,1996,7,83.34,TS
Bangladesh,1997,1997133N03092,UNNAMED,1997_1997133N03092_UNNAMED,1997-05-19,1997,6,212.98000000000002,H4
Bangladesh,1997,1997177N21090,UNNAMED,1997_1997177N21090_UNNAMED,1997-06-26,1997,0,NA,ND
Bangladesh,1997,1997210N21089,UNNAMED,1997_1997210N21089_UNNAMED,1997-07-29,1997,0,NA,ND
Bangladesh,1997,1997216N20091,UNNAMED,1997_1997216N20091_UNNAMED,1997-08-05,1997,0,NA,ND
Bangladesh,1997,1997263N14084,UNNAMED,1997_1997263N14084_UNNAMED,1997-09-27,1997,9,120.38000000000001,H1
Bangladesh,1998,1998133N04086,UNNAMED,1998_1998133N04086_UNNAMED,1998-05-20,1998,7,129.64000000000001,H1
Bangladesh,1998,1998320N10102,UNNAMED,1998_1998320N10102_UNNAMED,1998-11-23,1998,7,101.86,TS
Bangladesh,1999,1999159N18091,UNNAMED,1999_1999159N18091_UNNAMED,1999-06-10,1999,3,64.82000000000001,TS
Bangladesh,1999,1999208N21089,UNNAMED,1999_1999208N21089_UNNAMED,1999-07-27,1999,0,NA,ND
Bangladesh,1999,1999219N21089,UNNAMED,1999_1999219N21089_UNNAMED,1999-08-07,1999,0,NA,ND
Bangladesh,2000,2000299N13093,UNNAMED,2000_2000299N13093_UNNAMED,2000-10-28,2000,4,64.82000000000001,TS
Bangladesh,2002,2002314N12083,UNNAMED,2002_2002314N12083_UNNAMED,2002-11-12,2002,2,79.63600000000001,TS
Bangladesh,2003,2003206N21089,UNNAMED,2003_2003206N21089_UNNAMED,2003-07-25,2003,0,NA,ND
Bangladesh,2003,2003279N17084,UNNAMED,2003_2003279N17084_UNNAMED,2003-10-09,2003,0,NA,ND
Bangladesh,2004,2004136N15090,UNNAMED,2004_2004136N15090_UNNAMED,2004-05-19,2004,3,120.38000000000001,H1
Bangladesh,2004,2004256N23089,UNNAMED,2004_2004256N23089_UNNAMED,2004-09-12,2004,0,NA,ND
Bangladesh,2004,2004281N23087,UNNAMED,2004_2004281N23087_UNNAMED,2004-10-07,2004,0,NA,ND
Bangladesh,2005,2005260N20091,UNNAMED,2005_2005260N20091_UNNAMED,2005-09-17,2005,0,NA,ND
Bangladesh,2005,2005274N17086,UNNAMED,2005_2005274N17086_UNNAMED,2005-10-03,2005,2,70.376,TS
Bangladesh,2006,2006182N20088,UNNAMED,2006_2006182N20088_UNNAMED,2006-07-01,2006,1,37.04,TD
Bangladesh,2007,2007133N15091,AKASH,2007_2007133N15091_AKASH,2007-05-14,2007,5,120.38000000000001,H1
Bangladesh,2007,2007314N10093,SIDR,2007_2007314N10093_SIDR,2007-11-16,2007,5,240.76000000000002,H4
Bangladesh,2008,2008168N22090,UNNAMED,2008_2008168N22090_UNNAMED,2008-06-16,2008,0,NA,ND
Bangladesh,2008,2008298N16085,RASHMI,2008_2008298N16085_RASHMI,2008-10-26,2008,5,83.34,TS
Bangladesh,2009,2009104N13088,BIJLI,2009_2009104N13088_BIJLI,2009-04-17,2009,7,92.60000000000001,TS
Bangladesh,2009,2009143N17089,AILA,2009_2009143N17089_AILA,2009-05-25,2009,9,120.38000000000001,H1
Bangladesh,2009,2009201N21089,UNNAMED,2009_2009201N21089_UNNAMED,2009-07-20,2009,0,NA,ND
Bangladesh,2009,2009247N19089,UNNAMED,2009_2009247N19089_UNNAMED,2009-09-05,2009,1,64.82000000000001,TS
Bangladesh,2010,2010280N17085,UNNAMED,2010_2010280N17085_UNNAMED,2010-10-08,2010,0,NA,ND
Bangladesh,2011,2011167N22089,UNNAMED,2011_2011167N22089_UNNAMED,2011-06-16,2011,0,NA,ND
Bangladesh,2011,2011290N15090,UNNAMED,2011_2011290N15090_UNNAMED,2011-10-19,2011,5,64.82000000000001,TS
Bangladesh,2012,2012285N21091,UNNAMED,2012_2012285N21091_UNNAMED,2012-10-11,2012,0,NA,ND
Bangladesh,2013,2013130N04093,MAHASEN:VIYARU,2013_2013130N04093_MAHASEN:VIYARU,2013-05-16,2013,4,79.63600000000001,TS
Bangladesh,2013,2013149N21090,UNNAMED,2013_2013149N21090_UNNAMED,2013-05-29,2013,0,NA,ND
Bangladesh,2014,2014216N21089,UNNAMED,2014_2014216N21089_UNNAMED,2014-08-03,2014,0,NA,ND
Bangladesh,2015,2015207N22091,KOMEN,2015_2015207N22091_KOMEN,2015-07-31,2015,23,83.34,TS
Bangladesh,2016,2016138N10081,ROANU,2016_2016138N10081_ROANU,2016-05-21,2016,5,111.12,TS
Bangladesh,2016,2016222N22089,UNNAMED,2016_2016222N22089_UNNAMED,2016-08-09,2016,0,NA,ND
Bangladesh,2016,2016230N21089,UNNAMED,2016_2016230N21089_UNNAMED,2016-08-17,2016,0,NA,ND
Bangladesh,2016,2016308N13088,UNNAMED,2016_2016308N13088_UNNAMED,2016-11-06,2016,0,NA,ND
Bangladesh,2017,2017147N14087,MORA,2017_2017147N14087_MORA,2017-05-30,2017,8,148.16,H1
Bangladesh,2017,2017163N20090,UNNAMED,2017_2017163N20090_UNNAMED,2017-06-11,2017,0,NA,ND
Bangladesh,2017,2017282N22088,UNNAMED,2017_2017282N22088_UNNAMED,2017-10-09,2017,0,NA,ND
Bangladesh,2017,2017340N09089,UNNAMED,2017_2017340N09089_UNNAMED,2017-12-10,2017,1,37.04,TD
