region_name,district_name,fs_type,fs_name,LON,LAT
Fitovinany,manakara atsimo,CSB1,CSB1 Ambodibonara,47.863759,-21.823056
Fitovinany,manakara atsimo,CSB1,CSB1 Anorombato Mahamaibe,47.89694688,-21.70672245
Fitovinany,manakara atsimo,CSB1,CSB1 Ifaho,47.88476145,-22.03186869
Fitovinany,manakara atsimo,CSB1,CSB1 Loharano,48.08487167,-21.96228833
Fitovinany,manakara atsimo,CSB1,CSB1 Manakarabe,48.01803833,-22.15353833
Fitovinany,manakara atsimo,CSB1,CSB1 Vatolambo,47.834119,-21.795912
Fitovinany,manakara atsimo,CSB2,CSB2 Ambahatrazo,47.898859,-21.858432
Fitovinany,manakara atsimo,CSB2,CSB2 Ambahive,47.740907,-22.190614
Fitovinany,manakara atsimo,CSB2,CSB2 Ambalaroka,47.730395,-22.151803
Fitovinany,manakara atsimo,CSB2,CSB2 Ambalavero,47.804001,-21.811729
Fitovinany,manakara atsimo,CSB2,CSB2 Ambandrika,47.724521,-22.21666
Fitovinany,manakara atsimo,CSB2,CSB2 Ambila,47.9657471,-22.0024945
Fitovinany,manakara atsimo,CSB2,CSB2 Amboanjo,47.857312,-22.006657
Fitovinany,manakara atsimo,CSB2,CSB2 Ambodinato,47.864305,-22.143646
Fitovinany,manakara atsimo,CSB2,CSB2 Amborondra,47.776839,-21.915105
Fitovinany,manakara atsimo,CSB2,CSB2 Ambotaka,48.045904,-21.7526
Fitovinany,manakara atsimo,CSB2,CSB2 Ampasimboraka,47.636296,-21.669968
Fitovinany,manakara atsimo,CSB2,CSB2 Ampasimpotsy Sud,47.756073,-21.941313
Fitovinany,manakara atsimo,CSB2,CSB2 Analavory,47.959819,-21.715091
Fitovinany,manakara atsimo,CSB2,CSB2 Anorombato,47.790889,-22.018789
Fitovinany,manakara atsimo,CSB2,CSB2 Anteza,47.8735782,-21.6681696
Fitovinany,manakara atsimo,CSB2,CSB2 Bekatra,47.719887,-22.110447
Fitovinany,manakara atsimo,CSB2,CSB2 Fenomby,47.773972,-21.767714
Fitovinany,manakara atsimo,CSB2,CSB2 Kianjanaomby,47.805512,-21.73687
Fitovinany,manakara atsimo,CSB2,CSB2 Lokomby,47.7463466,-22.1838474
Fitovinany,manakara atsimo,CSB2,CSB2 Mahabako,47.72258852,-21.75697516
Fitovinany,manakara atsimo,CSB2,CSB2 Mahamaibe,47.88304757,-21.74700314
Fitovinany,manakara atsimo,CSB2,CSB2 Mangarivotra,48.012396,-22.135874
Fitovinany,manakara atsimo,CSB2,CSB2 Mangatsiotra,47.9613759,-22.1995595
Fitovinany,manakara atsimo,CSB2,CSB2 Manjarivo,47.92423,-22.107576
Fitovinany,manakara atsimo,CSB2,CSB2 Maroalakely DU,48.0040453,-22.1487944
Fitovinany,manakara atsimo,CSB2,CSB2 Marofarihy,47.9629299,-22.0298979
Fitovinany,manakara atsimo,CSB2,CSB2 Mavorano,47.94149,-21.779603
Fitovinany,manakara atsimo,CSB2,CSB2 Mitanty,48.0008743,-21.7292842
Fitovinany,manakara atsimo,CSB2,CSB2 Mizilo Gare,47.919446,-21.926887
Fitovinany,manakara atsimo,CSB2,CSB2 Namorona,48.183832,-21.638943
Fitovinany,manakara atsimo,CSB2,CSB2 Nihaonana Ambany,47.994365,-21.742477
Fitovinany,manakara atsimo,CSB2,CSB2 Nosiala,48.00071333,-22.0423
Fitovinany,manakara atsimo,CSB2,CSB2 Onilahy,47.62923,-21.70725
Fitovinany,manakara atsimo,CSB2,CSB2 Sahanambohitra,47.801913,-21.867082
Fitovinany,manakara atsimo,CSB2,CSB2 Saharefo,47.687466,-21.671569
Fitovinany,manakara atsimo,CSB2,CSB2 Sahasinaka,47.833159,-21.810323
Fitovinany,manakara atsimo,CSB2,CSB2 Sakoagna,47.813147,-22.207861
Fitovinany,manakara atsimo,CSB2,CSB2 Tataho,47.97365833,-22.13695833
Fitovinany,manakara atsimo,CSB2,CSB2 Vatana,47.745818,-22.23434
Fitovinany,manakara atsimo,CSB2,CSB2 Vinanintelo,47.738066,-22.015699
Fitovinany,manakara atsimo,CSB2,CSB2 Vohilava,47.879812,-21.784222
Fitovinany,manakara atsimo,CSB2,CSB2 Vohimanitra,47.69666,-21.703992
Fitovinany,manakara atsimo,CSB2,CSB2 Vohimasina Nord,48.11373167,-21.77254333
Fitovinany,manakara atsimo,CSB2,CSB2 Vohimasina Sud,48.12235833,-21.79641833
Fitovinany,manakara atsimo,CSB2,CSB2 Vohimasy,47.793796,-22.105359
Fitovinany,vohipeno,CSB1,CSB1 Amboafandra,47.787935,-22.41555833
Fitovinany,vohipeno,CSB1,CSB1 Ambohitsara II,47.48464101,-22.28002745
Fitovinany,vohipeno,CSB1,CSB1 Havohavo,47.7082059,-22.33376076
Fitovinany,vohipeno,CSB1,CSB1 Manatotsikora,47.5938,-22.38146
Fitovinany,vohipeno,CSB1,CSB1 Tamboholava,47.5616832,-22.2838381
Fitovinany,vohipeno,CSB1,CSB1 Vatolapana,47.83092333,-22.33419
Fitovinany,vohipeno,CSB2,CSB2 Ambodimanga,47.60576059,-22.42974747
Fitovinany,vohipeno,CSB2,CSB2 Andemaka,47.7544643,-22.2769279
Fitovinany,vohipeno,CSB2,CSB2 Ankarimbary,47.80441833,-22.30009833
Fitovinany,vohipeno,CSB2,CSB2 Anoloka,47.893026,-22.337782
Fitovinany,vohipeno,CSB2,CSB2 Antananabo,47.726815,-22.422545
Fitovinany,vohipeno,CSB2,CSB2 Ifatsy,47.73793833,-22.38767333
